x y
293.60116106281606 1295.9396800970248
622.8319096042792 696.9990753325222
811.3291528176815 787.7116053244562
804.8550654640112 800.1002437439491
310.51451018708 1298.3301604482488
291.9849127370603 1284.2295677177124
599.3755754554675 702.4442929902395
600.6342494224908 713.3616784383942
594.3496321218739 717.0411744984362
311.6368363217792 1297.6797588912805
798.1231383040873 799.2712235966553
293.6840685569041 1296.6735453995857
600.3543319499762 693.8184063263561
803.2600125821764 810.2345804335038
316.4489660750854 1302.7209247598096
588.7073361490235 692.1284251537619
803.2101157828897 788.7038016023383
297.339835499621 1291.781498487121
806.5725984661309 819.9583701084682
299.7291616418281 1303.67310963729
293.31374777914994 1297.7673294029196
817.3862999630865 779.9914495841608
808.5917789306106 797.6418209568844
804.5505391281291 789.2998160266415
598.8512235350627 688.5673158058256
806.4085854058266 796.1705156009962
306.4745991058993 1296.3604811543814
596.452893916775 701.4025189288745
598.7578493560372 714.9559328967127
602.6278413323987 697.7582554417046
